,repo_id,pr_src_id,repo_name,pr_src_author_association,pr_src_state,pr_created_at,pr_closed_at,created_year,created_month,closed_year,closed_month,hours_to_close,days_to_close,hours_to_first_response,days_to_first_response,hours_to_last_response,days_to_last_response,first_response_time,last_response_time,average_time_between_responses,assigned_count,review_requested_count,labeled_count,subscribed_count,mentioned_count,referenced_count,closed_count,head_ref_force_pushed_count,merged_count,milestoned_count,unlabeled_count,head_ref_deleted_count,comment_count,average_days_between_responses,average_hours_between_responses,created_yearmonth,closed_yearmonth,merged_flag,percentile_rank_local
0,25663,240771476,spring-framework,CONTRIBUTOR,closed,2018-12-24 12:55:05,2019-02-27 14:15:45,2018,12,2019,2.0,1561.34444444444,65.0560185185185,50.8686111111111,2.11952546296296,2111.97805555556,87.9990856481482,2018-12-26 15:47:12,2019-03-22 12:53:46,2 days 23:04:21.862069000,58,0,145,232,232,174,29,0,29,29,58,0,29,2.0,48.0,2018-12-01 00:00:00,2019-02-01 00:00:00,Merged / Accepted,0.9303721488595438
1,25663,263835589,spring-framework,MEMBER,closed,2019-03-23 14:15:12,2019-05-02 09:59:11,2019,03,2019,5.0,955.733055555556,39.8222106481482,4.18972222222222,0.174571759259259,980.279722222222,40.8449884259259,2019-03-23 18:26:35,2019-05-03 10:31:59,2 days 13:00:20.250000000,16,0,48,48,48,64,16,16,16,32,16,16,16,2.0,48.0,2019-03-01 00:00:00,2019-05-01 00:00:00,Merged / Accepted,0.9183673469387755
12,25663,253635905,spring-framework,CONTRIBUTOR,closed,2019-02-16 10:59:57,2019-05-07 10:44:05,2019,02,2019,5.0,1919.73555555556,79.9889814814815,0.000277777777777778,1.15740740740741e-05,1919.51944444444,79.9799768518518,2019-02-16 10:59:58,2019-05-07 10:31:07,13 days 07:55:11.500000000,6,0,18,24,24,6,6,0,6,12,6,0,6,13.0,312.0,2019-02-01 00:00:00,2019-05-01 00:00:00,Merged / Accepted,0.9375750300120048
18,25663,244762643,spring-framework,CONTRIBUTOR,closed,2019-01-15 11:34:39,2019-02-05 14:39:47,2019,01,2019,2.0,507.085555555556,21.1285648148148,0.000277777777777778,1.15740740740741e-05,500.333333333333,20.8472222222222,2019-01-15 11:34:40,2019-02-05 07:54:39,4 days 04:03:59.800000000,5,0,5,25,25,10,5,10,5,5,0,0,5,4.0,96.0,2019-01-01 00:00:00,2019-02-01 00:00:00,Merged / Accepted,0.8739495798319328
33,25663,328534647,spring-framework,NONE,closed,2019-10-16 01:58:54,2019-11-13 16:48:27,2019,10,2019,11.0,686.825833333333,28.6177430555556,0.000833333333333333,3.47222222222222e-05,567.402777777778,23.6417824074074,2019-10-16 01:58:57,2019-11-08 17:23:04,5 days 21:51:01.750000000,4,0,12,16,16,4,4,0,4,4,4,0,4,5.0,120.0,2019-10-01 00:00:00,2019-11-01 00:00:00,Merged / Accepted,0.8943577430972389
35,25663,308295709,spring-framework,CONTRIBUTOR,closed,2019-08-17 14:31:17,2019-08-29 11:59:15,2019,08,2019,8.0,285.466111111111,11.8944212962963,0.000277777777777778,1.15740740740741e-05,285.560555555556,11.8983564814815,2019-08-17 14:31:18,2019-08-29 12:04:55,2 days 23:23:24.250000000,4,0,12,28,28,4,4,0,4,4,8,0,4,2.0,48.0,2019-08-01 00:00:00,2019-08-01 00:00:00,Merged / Accepted,0.8199279711884754
39,25663,243981349,spring-framework,CONTRIBUTOR,closed,2019-01-11 10:47:06,2019-04-02 13:09:14,2019,01,2019,4.0,1946.36888888889,81.0987037037037,11.5855555555556,0.482731481481481,460.211388888889,19.175474537037,2019-01-11 22:22:14,2019-01-30 14:59:47,6 days 05:32:31.000000000,3,0,6,3,3,6,3,0,3,9,0,3,3,6.0,144.0,2019-01-01 00:00:00,2019-04-01 00:00:00,Merged / Accepted,0.9387755102040817
52,25663,249610579,spring-framework,CONTRIBUTOR,closed,2019-02-01 13:54:02,2019-02-15 13:55:36,2019,02,2019,2.0,336.026111111111,14.001087962963,25.9672222222222,1.08196759259259,336.035555555556,14.0014814814815,2019-02-02 15:52:04,2019-02-15 13:56:10,4 days 07:21:22.000000000,3,0,9,6,6,3,3,3,3,3,6,3,3,4.0,96.0,2019-02-01 00:00:00,2019-02-01 00:00:00,Merged / Accepted,0.8343337334933973
53,25663,306901747,spring-framework,CONTRIBUTOR,closed,2019-08-13 13:15:43,2019-08-27 10:01:30,2019,08,2019,8.0,332.763055555556,13.8651273148148,289.978888888889,12.0824537037037,333.246944444444,13.8852893518519,2019-08-25 15:14:27,2019-08-27 10:30:32,0 days 14:25:21.666667000,3,0,9,3,3,6,3,6,3,3,3,0,3,0.0,0.0,2019-08-01 00:00:00,2019-08-01 00:00:00,Merged / Accepted,0.8331332533013205
55,25663,154686057,spring-framework,CONTRIBUTOR,closed,2017-11-26 16:26:34,2018-01-09 21:12:05,2017,11,2018,1.0,1060.75861111111,44.198275462963,0.000277777777777778,1.15740740740741e-05,1060.87388888889,44.2030787037037,2017-11-26 16:26:35,2018-01-09 21:19:00,14 days 17:37:28.333333000,0,0,0,9,9,3,3,0,3,0,0,3,3,14.0,336.0,2017-11-01 00:00:00,2018-01-01 00:00:00,Merged / Accepted,0.921968787515006
58,25663,261279374,spring-framework,MEMBER,closed,2019-03-14 17:59:47,2019-04-03 09:26:38,2019,03,2019,4.0,471.4475,19.6436458333333,0.0472222222222222,0.00196759259259259,281.476388888889,11.7281828703704,2019-03-14 18:02:37,2019-03-26 11:28:22,3 days 21:48:35.000000000,3,6,6,9,9,6,3,6,3,3,0,3,3,3.0,72.0,2019-03-01 00:00:00,2019-04-01 00:00:00,Merged / Accepted,0.8679471788715486
65,25663,250670349,spring-framework,CONTRIBUTOR,closed,2019-02-06 08:38:41,2019-03-23 15:15:08,2019,02,2019,3.0,1086.6075,45.2753125,0.000555555555555556,2.31481481481481e-05,1086.61027777778,45.2754282407407,2019-02-06 08:38:43,2019-03-23 15:15:18,15 days 02:12:11.666667000,3,0,6,6,6,3,3,0,3,3,3,0,3,15.0,360.0,2019-02-01 00:00:00,2019-03-01 00:00:00,Merged / Accepted,0.9231692677070829
68,25663,270282320,spring-framework,CONTRIBUTOR,closed,2019-04-14 09:01:51,2019-04-23 10:48:21,2019,04,2019,4.0,217.775,9.07395833333333,0.000277777777777778,1.15740740740741e-05,216.783333333333,9.03263888888889,2019-04-14 09:01:52,2019-04-23 09:48:51,3 days 00:15:39.666667000,3,3,9,6,6,3,3,0,3,3,3,0,3,3.0,72.0,2019-04-01 00:00:00,2019-04-01 00:00:00,Merged / Accepted,0.801920768307323
104,25663,327367072,spring-framework,CONTRIBUTOR,closed,2019-10-11 21:04:55,2019-11-11 14:43:30,2019,10,2019,11.0,737.643055555556,30.7351273148148,573.658055555556,23.9024189814815,740.268055555556,30.8445023148148,2019-11-04 18:44:24,2019-11-11 17:21:00,3 days 11:18:18.000000000,2,0,6,2,2,4,2,0,2,2,2,2,2,3.0,72.0,2019-10-01 00:00:00,2019-11-01 00:00:00,Merged / Accepted,0.8979591836734694
131,25663,246905018,spring-framework,CONTRIBUTOR,closed,2019-01-23 10:02:24,2019-02-04 22:31:22,2019,01,2019,2.0,300.482777777778,12.5201157407407,0.000277777777777778,1.15740740740741e-05,0.0741666666666667,0.00309027777777778,2019-01-23 10:02:25,2019-01-23 10:06:51,0 days 00:02:13.000000000,2,2,2,4,4,4,2,0,2,2,0,0,2,0.0,0.0,2019-01-01 00:00:00,2019-02-01 00:00:00,Merged / Accepted,0.8211284513805522
245,25663,244726804,spring-framework,CONTRIBUTOR,closed,2019-01-15 09:33:57,2019-01-24 16:53:23,2019,01,2019,1.0,223.323888888889,9.30516203703704,59.0652777777778,2.46105324074074,59.0652777777778,2.46105324074074,2019-01-17 20:37:52,2019-01-17 20:37:52,0 days 00:00:00.000000000,0,0,0,0,0,1,1,0,1,0,0,0,1,0.0,0.0,2019-01-01 00:00:00,2019-01-01 00:00:00,Merged / Accepted,0.8043217286914766
